CustomerAttributes,Product
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 21-30, 0, 0, 0","['Touring-3000 Blue, 62']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 21-30, 0, 1, 0","['Road-550-W Yellow, 40']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 21-30, 1, 1, 0","['Road-750 Black, 58', 'Half-Finger Gloves, L']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 31-40, 0, 1, 0","['Road-150 Red, 48', 'Road-150 Red, 44', 'Road-150 Red, 48', 'Road-150 Red, 48', 'Mountain-200 Silver, 46', 'Road-250 Black, 58', 'Road-250 Black, 52', 'Mountain-200 Silver, 38', 'Mountain-200 Silver, 46', 'Mountain-500 Black, 42', 'Fender Set - Mountain', 'Long-Sleeve Logo Jersey, S', 'Mountain-500 Black, 40', 'Touring-3000 Blue, 44', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Road-750 Black, 48', 'LL Road Tire', 'Road Tire Tube', 'Patch Kit/8 Patches', 'Road-350-W Yellow, 42', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Touring-3000 Yellow, 44', 'Touring Tire', 'Touring Tire Tube', 'Road-750 Black, 58', 'Sport-100 Helmet, Red', 'Mountain-200 Black, 42', 'Fender Set - Mountain', 'Mountain-200 Silver, 46', 'Sport-100 Helmet, Blue', 'Mountain-400-W Silver, 46', 'Long-Sleeve Logo Jersey, M', 'Mountain-200 Silver, 38', 'Sport-100 Helmet, Black', 'Road-550-W Yellow, 48', 'Sport-100 Helmet, Black', 'Mountain-400-W Silver, 38', 'ML Mountain Tire', 'Patch Kit/8 Patches', 'Touring-2000 Blue, 50', 'Touring-2000 Blue, 54']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 31-40, 1, 1, 0","['Road-250 Black, 44', 'Mountain-500 Silver, 42', 'Fender Set - Mountain', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Bike Wash - Dissolver', 'Touring-1000 Blue, 46', 'Road-550-W Yellow, 38', 'ML Road Tire', 'Road Tire Tube']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 31-40, 1, 1, 1","['Road-750 Black, 48', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Short-Sleeve Classic Jersey, L', 'Touring Tire Tube', 'Touring Tire', 'Fender Set - Mountain', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'ML Road Tire', 'Patch Kit/8 Patches', 'Road Tire Tube', 'HL Road Tire', 'Patch Kit/8 Patches', 'Bike Wash - Dissolver', 'Hitch Rack - 4-Bike']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 41-50, 0, 0, 0","['Road-750 Black, 44', 'Road Tire Tube', 'LL Road Tire']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 41-50, 0, 1, 0","['Road-150 Red, 56', 'Road-650 Black, 52', 'Road-550-W Yellow, 40', 'Mountain-200 Black, 42', 'Road-550-W Yellow, 48', 'Road-550-W Yellow, 42', 'Road-750 Black, 48', 'Sport-100 Helmet, Red', 'Touring Tire', 'Touring Tire Tube', 'Sport-100 Helmet, Black', 'Mountain-200 Black, 46', 'Mountain Bottle Cage', 'AWC Logo Cap', 'Water Bottle - 30 oz.', 'Road-350-W Yellow, 42', 'Sport-100 Helmet, Black', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, S', 'Touring Tire', 'Touring Tire Tube', 'Long-Sleeve Logo Jersey, M', 'AWC Logo Cap', 'Touring-1000 Yellow, 60', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Sport-100 Helmet, Black', 'Touring Tire Tube', 'Sport-100 Helmet, Red', 'Road-350-W Yellow, 40', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Touring-1000 Yellow, 46', 'Touring Tire', 'Touring Tire Tube', 'Hydration Pack - 70 oz.', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'AWC Logo Cap', 'Water Bottle - 30 oz.', 'Short-Sleeve Classic Jersey, L', 'Road-350-W Yellow, 42', 'Sport-100 Helmet, Red', 'Mountain-200 Silver, 46', 'Mountain Bottle Cage', 'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Mountain-500 Black, 48', 'Touring Tire', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'Bike Wash - Dissolver']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 41-50, 1, 1, 0","['Mountain-200 Silver, 38', 'Mountain-200 Silver, 38', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Short-Sleeve Classic Jersey, L', 'Road-550-W Yellow, 38', 'Long-Sleeve Logo Jersey, M', 'Road-350-W Yellow, 42', 'Sport-100 Helmet, Black']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 41-50, 1, 1, 1","['Road-650 Red, 52', 'Mountain Tire Tube', 'LL Mountain Tire', 'Sport-100 Helmet, Black', 'Road-350-W Yellow, 42', 'Long-Sleeve Logo Jersey, M', 'Touring Tire Tube', 'Patch Kit/8 Patches']"
